"expt_date,04/29/2024 18:49",,,,,,,,,,,,,,,,,,,,
"subj_name,1",,,,,,,,,,,,,,,,,,,,
"sustattn,True",,,,,,,,,,,,,,,,,,,,
"changedetect,True",,,,,,,,,,,,,,,,,,,,
"seed,1714387756",,,,,,,,,,,,,,,,,,,,
"restarting,False",,,,,,,,,,,,,,,,,,,,
"env,other",,,,,,,,,,,,,,,,,,,,
"save_dir,./../subjects/1/data/beh/",,,,,,,,,,,,,,,,,,,,
"debug,False",,,,,,,,,,,,,,,,,,,,
"project_dir,./../",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
blockNum,trialNum,time,setSize,freqTrials,colorInd,correctResponse,actualResp,acc,rts,probeTrials,wholereportResp,wholereportRespOrder,wholereportRespColorInd,wholereportRespAcc,wholereportRTtimeBlockStart,timeEncArrayOnset,timeResponse,timeWholeReportOnset,timeWholeReportOffset,
0,38,10:50:53:979000,6,1,[4 3 8 7 6 0],1,1,1,0.7152269,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,94.5502917,95.2655186,nan,nan
0,39,10:50:55:027000,6,1,[7 6 2 0 5 8],1,1,1,0.4138042,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,95.6084129,96.0222171,nan,nan
0,40,10:50:56:085000,6,1,[3 2 1 8 4 0],1,1,1,0.3251904,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,96.6643549,96.9895453,nan,nan
0,41,10:50:57:136000,6,1,[6 5 0 7 1 4],1,1,1,0.3262738,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,97.7193498,98.0456236,nan,nan
0,42,10:51:08:248000,6,0,[7 8 4 6 5 3],0,0,1,0.3115961,1,[ 1.  1.  1.  1.  1.  1.],[ 2.  6.  5.  1.  3.  4.],[ 7.  4.  1.  6.  3.  5.],2,[ 2.1919936  7.9891492  7.1314653  1.3858135  3.2386641  4.586401 ],8.462099,98.7766656,99.0882617,100.7967027,108.8045782
0,43,10:51:09:309000,6,1,[8 4 5 2 0 1],1,1,1,0.6641346,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,109.8880573,110.5521919,nan,nan
0,44,10:51:10:382000,6,1,[0 1 4 5 7 2],1,1,1,0.4268328,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,110.9436842,111.370517,nan,nan
0,45,10:51:11:439000,6,1,[1 7 8 2 6 5],1,1,1,0.3151617,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,112.023209,112.3383707,nan,nan
0,46,10:51:12:493000,6,0,[8 4 3 1 7 6],0,0,1,0.4680368,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,113.0782885,113.5463253,nan,nan
0,47,10:51:13:563000,6,1,[2 6 8 7 3 4],1,1,1,0.3937167,0,[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],[ nan  nan  nan  nan  nan  nan],0,[ nan  nan  nan  nan  nan  nan],8.462099,114.1343266,114.5280433,nan,nan
